Id,Name,Timestamp,RunTimestamp,LastRunTime
490,89.02.40 PRI Utils MIR Import SAT,11/9/2021 10:14,11/9/2021 10:14,00:00:05
491,08.21 SETUP SO: Attach TLIC Only,12/16/2021 14:02,,
492,08.22 SETUP SO: Attach TFLIC Only,12/16/2021 14:02,,
493,08.23 SETUP SO: Attach All Policies,12/16/2021 14:03,,
494,08.24 SETUP UA: Update Reserve Method - AG36 ON,12/16/2021 14:10,10/24/2022 21:06,00:00:00
495,08.25 SETUP UA: Update Reserve Method - AG36 OFF,12/16/2021 14:10,10/24/2022 21:52,00:00:00
496,08.01.01 STAT PROJ SBT: Run IUL Base & OB Val AG36,6/21/2022 9:36,10/24/2022 21:35,00:28:53
497,08.02.01 STAT PROJ SBT: Run IUL Non LTC Val - AG36,6/21/2022 9:37,10/24/2022 21:52,00:16:57
498,08.20 STAT EXECUTION DSF: IUL AG36,6/21/2022 9:43,10/24/2022 21:52,00:45:52
500,91.02.01 CFT NY1 Run,4/20/2022 12:26,1/21/2023 7:28,01:54:13
501,05.01 SETUP BIFFS: Import VUL Scenarios - Future,7/25/2022 14:47,1/21/2023 3:14,00:11:11
502,05.02 SETUP BIFFS: Import IUL Scenarios - Future,11/30/2022 15:33,1/21/2023 3:15,00:00:49
503,05.04 SETUP BIFFS: Import IUL Scenarios - Historic,1/20/2023 16:42,1/21/2023 3:15,00:00:02
504,05.03 SETUP BIFFS: Import VUL Scenarios - Historic,1/20/2023 16:42,1/21/2023 3:15,00:00:00
508,06.00 SETUP DSM: RAM Dataset Macro,1/18/2022 13:35,1/21/2023 4:47,00:07:12
509,06.01 SETUP DLM: RAM Import/Export Queries,11/28/2022 11:17,1/21/2023 4:45,00:05:08
510,06.02 SETUP IEM: Import Reinsurance Treaty Objects,1/18/2022 13:31,1/21/2023 4:45,00:00:30
511,06.03 SETUP DLM: Ceded DataLink Macro,2/17/2022 15:55,1/21/2023 4:47,00:01:32
512,02.00 SETUP DLM: Load PIT and Cells,12/5/2022 15:22,1/21/2023 4:11,00:36:53
513,02.01 SETUP CTF: Update LE Subfund in Cell,1/15/2023 18:21,1/21/2023 4:09,00:00:03
514,02.02 SETUP CTF: Do Not Export Cells,11/22/2022 13:30,1/21/2023 4:11,00:01:34
515,01.00 SETUP DSM: FMT to DL Tables,1/18/2022 16:35,1/21/2023 3:34,00:18:42
516,01.01 SETUP IEM: Import FMT,12/14/2022 8:35,1/21/2023 3:22,00:06:33
517,01.02 SETUP DLM: Initialize FMT DL Tables,12/15/2022 10:28,1/21/2023 3:22,00:00:05
518,01.03 SETUP DLM: Load FMT DL Tables,12/15/2022 10:28,1/21/2023 3:34,00:11:46
519,01.04 SETUP DLM: Map FMT DL Tables,12/15/2022 10:27,1/21/2023 3:34,00:00:17
520,10.00 IFRS4 EXECUTION DSF: VUL Prev Scenario Proj,1/28/2022 8:54,,
521,08.01 IFRS4 PROJ SBT: VUL SAT REPORT,2/10/2022 14:11,9/2/2022 11:12,00:22:21
522,08.03 RPTG DSM: VUL Scen Export for SAT,1/21/2022 16:48,9/2/2022 11:37,00:00:21
523,08.03.01 RPTG BO: Curr Scen Imp/Exp Export,2/18/2022 9:24,9/2/2022 11:37,00:00:18
524,08.03.02 RPTG DLM: Curr Scen Results Export,1/21/2022 16:47,9/2/2022 11:37,00:00:02
525,08.04 RPTG DSF: VUL SAT Python Executable,7/22/2022 15:52,9/2/2022 11:40,00:02:40
526,11.00 IFRS4 EXECUTION DSF: VUL Curr Scenario Proj,1/28/2022 8:55,,
532,09.01 RPTG DLM: VUL KC2 Table C Output,1/21/2022 16:29,9/2/2022 11:41,00:01:09
533,92.02 MVN Seriatim Datalink - VUL,1/24/2022 16:26,,
534,92.03 MVN Seriatim Proj and NPV Calc - VUL,1/24/2022 16:43,,
535,92.03.01 MVN Seriatim NPV Calculation - VUL,1/24/2022 16:41,,
536,92.03.02 MVN Seriatim NPV Export - VUL,1/24/2022 16:42,,
537,08.00 STAT EXECUTION DSM: Run VUL Valuation & Proj,3/10/2022 16:44,9/2/2022 11:41,00:51:46
538,09.00 RPTG DSM: VUL KC2,1/21/2022 16:30,9/2/2022 11:41,00:01:10
539,08.02 STAT PROJ CYP: Run VUL Valuation,2/14/2022 11:19,9/2/2022 11:37,00:25:10
540,IUL_SERIATIM_CY_PROJ_2_MONTHS,12/19/2022 8:46,4/22/2022 1:41,03:59:20
541,VUL_CY_SERIATIM_PROJ_1_YR,11/3/2022 15:49,4/29/2022 11:57,00:24:56
550,05.05 SETUP BIFFS: Import IUL Scenarios - HistAG36,11/30/2022 15:13,1/21/2023 3:15,00:00:01
552,IUL_SERIATIM_CY_PROJ_12_MONTHS_LTC,12/22/2022 16:50,4/22/2022 1:41,03:59:20
553,999. [PLACEHOLDER] CALL_DBT_FRONTEND,12/28/2022 17:49,10/24/2022 19:49,02:45:41
